prov,decile,band_min,band_max,indirect_costs
BC,1,0,30052,296.63
BC,2,30053,46136,250.10
BC,3,46137,67535,269.00
BC,4,67536,89031,312.62
BC,5,89032,110954,344.61
BC,6,110955,139496,389.69
BC,7,139497,168442,452.21
BC,8,168443,208757,495.83
BC,9,208758,282176,562.72
BC,10,282177,10000000,731.39
AB,1,0,38990,260.27
AB,2,38991,61384,261.73
AB,3,61385,87284,351.88
AB,4,87285,116466,402.77
AB,5,116467,146253,474.02
AB,6,146254,173858,542.36
AB,7,173859,207436,716.85
AB,8,207437,250155,754.65
AB,9,250156,341879,735.75
AB,10,341880,10000000,913.14
SK,1,0,32012,404.23
SK,2,32013,48263,463.84
SK,3,48264,72403,494.38
SK,4,72404,95819,533.64
SK,5,95820,119501,548.18
SK,6,119502,147542,663.05
SK,7,147543,180019,770.65
SK,8,180020,224447,994.57
SK,9,224448,285421,1224.31
SK,10,285422,10000000,1494.76
MB,1,0,31454,226.83
MB,2,31455,48465,222.47
MB,3,48466,68111,279.18
MB,4,68112,87371,295.17
MB,5,87372,109805,287.90
MB,6,109806,131961,343.16
MB,7,131962,159828,398.41
MB,8,159829,199343,485.65
MB,9,199344,259839,658.68
MB,10,259840,10000000,766.28
ON,1,0,29658,157.04
ON,2,29659,47326,159.95
ON,3,47327,67119,206.48
ON,4,67120,90906,216.65
ON,5,90907,115283,247.19
ON,6,115284,143109,274.82
ON,7,143110,174348,309.71
ON,8,174349,218430,366.42
ON,9,218431,297903,442.03
ON,10,297904,10000000,568.53
QC,1,0,28736,151.22
QC,2,28737,38627,146.86
QC,3,38628,54329,196.30
QC,4,54330,70878,229.74
QC,5,70879,90531,260.27
QC,6,90532,115251,286.45
QC,7,115252,141729,351.88
QC,8,141730,178078,396.96
QC,9,178079,239556,424.58
QC,10,239557,10000000,578.71
NB,1,0,29812,186.12
NB,2,29813,41561,206.48
NB,3,41562,57458,250.10
NB,4,57459,74520,332.98
NB,5,74521,95807,359.15
NB,6,95808,117525,404.23
NB,7,117526,142273,404.23
NB,8,142274,176240,492.92
NB,9,176241,227870,535.09
NB,10,227871,10000000,676.13
NS,1,0,29084,286.45
NS,2,29085,42577,245.73
NS,3,42578,58380,237.01
NS,4,58381,76391,279.18
NS,5,76392,97010,388.23
NS,6,97011,119725,446.39
NS,7,119726,147779,474.02
NS,8,147780,186281,474.02
NS,9,186282,252089,594.71
NS,10,252090,10000000,697.94
PE,1,0,31473,175.94
PE,2,31474,45534,212.29
PE,3,45535,60893,196.30
PE,4,60894,80985,334.43
PE,5,80986,100007,334.43
PE,6,100008,124343,383.87
PE,7,124344,147826,530.73
PE,8,147827,174841,581.62
PE,9,174842,221942,540.91
PE,10,221943,10000000,631.06
NL,1,0,29280,139.59
NL,2,29281,43540,122.14
NL,3,43541,64797,235.56
NL,4,64798,88277,244.28
NL,5,88278,108953,205.02
NL,6,108954,132464,219.56
NL,7,132465,169459,308.26
NL,8,169460,206660,389.69
NL,9,206661,269658,520.55
NL,10,269659,10000000,655.78
